title,date,make,year,price,VIN,fuel,odometer,cylinders,paint color,title status,transmission,type,link
Jeep wrangler,2017-09-03 21:46,jeep,NOT INDICATED,$12000,NOT INDICATED,gas,160000,6 cylinders,black,clean,manual,SUV,https://sacramento.craigslist.org/cto/d/jeep-wrangler/6292203688.html
2008 Honda Civic SI,2017-09-03 21:46,honda,2008,$6800,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2008-honda-civic-si/6258821677.html
2008 Honda Civic SI,2017-09-03 21:45,honda,2008,$6800,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2008-honda-civic-si/6258823466.html
2008 Honda Civic SI,2017-09-03 21:45,honda,2008,$6800,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2008-honda-civic-si/6258823895.html
2009 BMW 535,2017-09-03 21:41,bmw,2009,$14500,NOT INDICATED,gas,85200,6 cylinders,blue,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/2009-bmw-535/6292201641.html
03 Oldsmobile Alero,2017-09-03 21:41,oldsmobile,2003,$2000,NOT INDICATED,gas,106000,4 cylinders,red,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/03-oldsmobile-alero/6292201598.html
1961 Buick Special,2017-09-03 21:40,buick,1961,$9500,NOT INDICATED,gas,52822,8 cylinders,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1961-buick-special/6292200969.html
"2008 ford Escape, clean tile, clean carfax, lowmile",2017-09-03 21:38,ford,2008,$4300,NOT INDICATED,gas,150000,6 cylinders,custom,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/2008-ford-escape-clean-tile/6292200226.html
2012 Infiniti QX56,2017-09-03 21:37,infiniti,2012,$29000,NOT INDICATED,gas,80000,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2012-infiniti-qx56/6292199489.html
2001 Ford Focus SE,2017-09-03 21:36,ford,2001,$1500,NOT INDICATED,gas,143000,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2001-ford-focus-se/6292198966.html
